,name,token,type,exchange,ticksize
58,SFMP18GR,138950404,EQ,BSE,0.01
59,GNFC,128171524,EQ,BSE,0.05
60,GNA,138271748,EQ,BSE,0.05
61,GMRINFRA,136385028,EQ,BSE,0.05
62,GMM,129345284,EQ,BSE,0.05
63,GMLM,138115844,EQ,BSE,0.05
64,GMETCOAL,136161540,EQ,BSE,0.01
65,GMDCLTD,136238340,EQ,BSE,0.05
66,GMBREW,129916932,EQ,BSE,0.05
67,GLOSTERLTD,138841860,EQ,BSE,0.05
68,GLOBUSCOR,136167428,EQ,BSE,0.01
69,GLOBALCA,135747332,EQ,BSE,0.01
70,GLOBAL,136058628,EQ,BSE,0.01
71,GLITTEKG,131463172,EQ,BSE,0.01
72,GKP,138922500,EQ,BSE,0.05
73,GIRDSGA,129921540,EQ,BSE,0.01
74,GIPCL,132428804,EQ,BSE,0.05
75,GINNIFILA,151046404,EQ,BSE,0.01
76,GINISILK,136126468,EQ,BSE,0.05
77,GILLANDERS,136375300,EQ,BSE,0.05
78,GICRE,138433284,EQ,BSE,0.05
79,GICHSGFIN,130989060,EQ,BSE,0.05
80,GGPL,138042372,EQ,BSE,0.05
81,GGDANDE,129344004,EQ,BSE,0.05
82,GFLLIMITED,128044292,EQ,BSE,0.05
83,GET&D,133702404,EQ,BSE,0.05
84,GESHIP*,128158724,EQ,BSE,0.05
85,GEPL6JUL15,243803908,EQ,BSE,0.01
86,GEPL4AUG20,243853828,EQ,BSE,0.01
87,GEPL29JUN15,243796996,EQ,BSE,0.01
88,WAAREE,138070276,EQ,BSE,0.05
89,VSL,138304516,EQ,BSE,0.05
90,UPL08JUN12A,242694916,EQ,BSE,0.01
91,VRFILMS,138919428,EQ,BSE,0.05
92,VISVEN,131088388,EQ,BSE,0.05
93,VIKASMCORP,138919684,EQ,BSE,0.01
94,SSORGS,134306820,EQ,BSE,0.01
95,SHARPINV,137782276,EQ,BSE,0.01
96,SGBJULY27,204875780,EQ,BSE,0.01
97,SGBAUG27,204876036,EQ,BSE,0.01
98,SFMP18GD,138950916,EQ,BSE,0.01
99,SFMP18DR,138950660,EQ,BSE,0.01
100,SFMP18DD,138951172,EQ,BSE,0.01
101,SFMP17GR,138948100,EQ,BSE,0.01
102,SFMP17GD,138948612,EQ,BSE,0.01
103,SFMP17DR,138948356,EQ,BSE,0.01
104,SFMP17DD,138948868,EQ,BSE,0.01
105,SFMP16GR,138946820,EQ,BSE,0.01
106,SFMP16GD,138947332,EQ,BSE,0.01
107,SFMP16DR,138947076,EQ,BSE,0.01
108,SFMP16DD,138947588,EQ,BSE,0.01
109,SFMP15GR,138945028,EQ,BSE,0.01
110,SWSOLAR,138946564,EQ,BSE,0.05
111,PATELENGLR,192161028,EQ,BSE,0.01
112,ICSA,136070148,EQ,BSE,0.01
113,ICMMP58,233553924,EQ,BSE,0.01
114,ICMMB90,245913604,EQ,BSE,0.01
115,ICMMB85,245911044,EQ,BSE,0.01
116,ICMMB80,245908484,EQ,BSE,0.01
117,GEPL17APR15,243728132,EQ,BSE,0.01
118,GEPIL,136271108,EQ,BSE,0.05
119,GEOJITFSL,136264964,EQ,BSE,0.05
120,GENUSPRIME,136300804,EQ,BSE,0.01
121,GENUSPOWER,135767812,EQ,BSE,0.05
122,GENUSPAPER,137974020,EQ,BSE,0.01
123,GENNEX,136125188,EQ,BSE,0.01
124,GENESYS,129563908,EQ,BSE,0.05
125,GENERAAGRI,138751748,EQ,BSE,0.01
126,GENCON,138088196,EQ,BSE,0.05
127,GEMSPIN,133410052,EQ,BSE,0.01
128,USHDI,131004420,EQ,BSE,0.01
129,USHAMART,132389380,EQ,BSE,0.05
130,USGTECH,136294916,EQ,BSE,0.01
131,SFMP15GD,138945540,EQ,BSE,0.01
132,SFMP15DR,138945284,EQ,BSE,0.01
133,SFMP15DD,138945796,EQ,BSE,0.01
134,SFMP14GD,138944004,EQ,BSE,0.01
135,SFMP14DR,138943748,EQ,BSE,0.01
136,SFMP14DD,138944260,EQ,BSE,0.01
137,SFMP13GR,138942212,EQ,BSE,0.01
138,SFMP13GD,138942724,EQ,BSE,0.01
139,SFMP13DR,138942468,EQ,BSE,0.01
140,SFMP13DD,138942980,EQ,BSE,0.01
141,SFMP12GR,138941188,EQ,BSE,0.01
142,SFMP12GD,138941700,EQ,BSE,0.01
143,SVCIND,134268932,EQ,BSE,0.01
144,H1154D43RD,138862084,EQ,BSE,0.01
145,H1154D43DQ,138861572,EQ,BSE,0.01
146,H1154D43DG,138861060,EQ,BSE,0.01
147,GEETANJ,138108420,EQ,BSE,0.01
148,GEEFC,135779588,EQ,BSE,0.01
149,GEECEE,136387588,EQ,BSE,0.05
150,GEE,129031172,EQ,BSE,0.05
151,ELANTAS,128031492,EQ,BSE,0.05
152,ELANGO,131443716,EQ,BSE,0.01
153,EKFL12JUL17,245110788,EQ,BSE,0.01
154,EKC,136367108,EQ,BSE,0.05
155,EKAMLEA,135828740,EQ,BSE,0.01
156,EIS,138509572,EQ,BSE,0.05
157,EIMCOELECO,134069252,EQ,BSE,0.05
158,EIHOTEL,128215044,EQ,BSE,0.05
159,EIHAHOTELS,133920516,EQ,BSE,0.05
160,EIDPARRY,128032004,EQ,BSE,0.05
161,EFPVH9I602A,244448772,EQ,BSE,0.01
162,EFPLL9L602A,244608772,EQ,BSE,0.01
163,EFPLL9L601A,244643332,EQ,BSE,0.01
164,EFPLL9C702A,244705028,EQ,BSE,0.01
165,EFPLL0E701A,245086724,EQ,BSE,0.01
166,EFPLJ1A701B,244634628,EQ,BSE,0.01
167,EFPLJ1A701A,244634116,EQ,BSE,0.01
168,EFPLI7J601D,244491268,EQ,BSE,0.01
169,EFPLG9J601A,244365828,EQ,BSE,0.01
170,EFPLG9G603A,244365316,EQ,BSE,0.01
171,EFPLF9G602A,244329988,EQ,BSE,0.01
172,EFPLF9F701D,244896772,EQ,BSE,0.01
173,EFPLF9F601A,244322308,EQ,BSE,0.01
174,WEIZMANIND,133890820,EQ,BSE,0.05
175,URJAGLOBA,134908676,EQ,BSE,0.01
176,URBAKNITT,136907780,EQ,BSE,0.05
177,UPSURGE,136035844,EQ,BSE,0.01
178,UPL5OCT10D,242399492,EQ,BSE,0.01
179,TIPFSP1H,138931204,EQ,BSE,0.01
180,TFFSP1HP,138935300,EQ,BSE,0.01
181,TFFSP1H,138932740,EQ,BSE,0.01
182,TFFSP1G,138933252,EQ,BSE,0.01
183,TFFSP1FP,138934532,EQ,BSE,0.01
184,TFFSP1F,138932228,EQ,BSE,0.01
185,TDPOWERSYS,136589572,EQ,BSE,0.05
186,TCAPLSRI08B,248959748,EQ,BSE,0.01
187,TCAPL9SEP06,248890116,EQ,BSE,0.01
188,SPANDANA,138946308,EQ,BSE,0.05
189,SFMP14GR,138943492,EQ,BSE,0.01
190,SFMP12DR,138941444,EQ,BSE,0.01
191,SFMP12DD,138941956,EQ,BSE,0.01
192,SFMP11GR,138939140,EQ,BSE,0.01
193,SFMP11GD,138939652,EQ,BSE,0.01
194,SFMP11DR,138939396,EQ,BSE,0.01
195,RUCHINDLTD,138418180,EQ,BSE,0.05
196,H1154D43DD,138861316,EQ,BSE,0.01
197,H1150F37DG,138321668,EQ,BSE,0.01
198,EFPLF0F702A,244900868,EQ,BSE,0.01
199,EFPLE9F704B,244884740,EQ,BSE,0.01
200,EFPLE8F701B,244887044,EQ,BSE,0.01
201,EFPLE0F701A,244875012,EQ,BSE,0.01
202,EFPLE0E703A,244825092,EQ,BSE,0.01
203,EFPLD9D601A,244200452,EQ,BSE,0.01
204,EFPLC9C704D,244765444,EQ,BSE,0.01
205,EFPLC9C704C,244764932,EQ,BSE,0.01
206,EFPLC9C704B,244764676,EQ,BSE,0.01
207,EFPLC9C702C,244747012,EQ,BSE,0.01
208,EFPLC9C702B,244746756,EQ,BSE,0.01
209,EFPLC8C702C,244738820,EQ,BSE,0.01
210,EFPLB9C703B,244704004,EQ,BSE,0.01
211,EFPLA9C701B,244635140,EQ,BSE,0.01
212,EFPLA9B704E,244683012,EQ,BSE,0.01
213,EFPLA9B703B,244668676,EQ,BSE,0.01
214,EFPLA9B702D,244659716,EQ,BSE,0.01
215,UTISXN50,138883332,EQ,BSE,0.01
216,UPL5OCT10C,242399236,EQ,BSE,0.01
217,TTMFSP1O,138934276,EQ,BSE,0.01
218,TTMFSP1N,138935556,EQ,BSE,0.01
219,TTMFSP1M,138935812,EQ,BSE,0.01
220,TTMFSP1L,138934788,EQ,BSE,0.01
221,TTMFSP1F,138935044,EQ,BSE,0.01
222,TTMFSP1EP,138933764,EQ,BSE,0.01
223,TTMFSP1E,138936068,EQ,BSE,0.01
224,TTMFSP1D,138936324,EQ,BSE,0.01
225,TFFSP1E,138934020,EQ,BSE,0.01
226,TFFSP1DP,138932996,EQ,BSE,0.01
227,SUNSHIEL,135896324,EQ,BSE,0.05
228,SUNILTX,133435396,EQ,BSE,0.05
229,STF29MAY19A,245453572,EQ,BSE,0.01
230,STEPHANOTIS,131127044,EQ,BSE,0.05
231,SFMP11DD,138939908,EQ,BSE,0.01
232,SDFSC10DD,138492932,EQ,BSE,0.01
233,PARLEIND,136425220,EQ,BSE,0.05
234,OROSMITHS,136096260,EQ,BSE,0.01
235,H1150F37DD,138321924,EQ,BSE,0.01
236,H1150D39DG,138510852,EQ,BSE,0.01
237,EFPLA9B702B,244659204,EQ,BSE,0.01
238,EFPLA9B702A,244658948,EQ,BSE,0.01
239,EFPLA0A701A,244652804,EQ,BSE,0.01
240,EFPL,136918788,EQ,BSE,0.01
241,EFPF0F705A,244910596,EQ,BSE,0.01
242,EFPF0F703A,244910084,EQ,BSE,0.01
243,GTEIT,136227588,EQ,BSE,0.01
244,GSS,136435460,EQ,BSE,0.05
245,GSPL,136371716,EQ,BSE,0.05
246,GSLSEC,135800068,EQ,BSE,0.01
247,GSKCONS,128173060,EQ,BSE,0.05
248,GSFC,128176644,EQ,BSE,0.05
249,GSCLCEMENT,132615428,EQ,BSE,0.05
250,GSBFIN,130955012,EQ,BSE,0.01
251,GSAUTO,131343108,EQ,BSE,0.01
252,GRSE,138754820,EQ,BSE,0.05
253,GROVY,138117636,EQ,BSE,0.05
254,GROMOTRADE,128336388,EQ,BSE,0.05
255,GRNLAMIND,137978628,EQ,BSE,0.05
256,GRMOVER,136050948,EQ,BSE,0.05
257,TTMFSP1C,138933508,EQ,BSE,0.01
258,TTLEL,131644420,EQ,BSE,0.01
259,TIPFSP1G,138931460,EQ,BSE,0.01
260,TIPFSP1B,138929924,EQ,BSE,0.01
261,TIPFSP1AP,138930436,EQ,BSE,0.01
262,TIPFSP1A,138931972,EQ,BSE,0.01
263,TFFSP1D,138930948,EQ,BSE,0.01
264,TFFSP1C,138930180,EQ,BSE,0.01
265,TFFSP1BP,138931716,EQ,BSE,0.01
266,TFFSP1B,138932484,EQ,BSE,0.01
267,TFFSP1A,138930692,EQ,BSE,0.01
268,TCAPL06SR2,248909316,EQ,BSE,0.01
269,SUICH,138926852,EQ,BSE,0.05
270,STRLGUA,130294532,EQ,BSE,0.01
271,STERSPN,136096772,EQ,BSE,0.05
272,SHYAM,131087364,EQ,BSE,0.01
273,SHINDL,132965636,EQ,BSE,0.05
274,SGBJUNE27,204875524,EQ,BSE,0.01
275,SETUINFRA,136602884,EQ,BSE,0.01
276,SCPOFA4GR,138936836,EQ,BSE,0.01
277,SCPOFA4GD,138937092,EQ,BSE,0.01
278,SBC,138937604,EQ,BSE,0.05
279,SAVFI,130963716,EQ,BSE,0.01
280,SMFIL,131435012,EQ,BSE,0.01
281,SKIEL,138938372,EQ,BSE,0.05
282,H1150D39DD,138511108,EQ,BSE,0.01
283,H1147D39RQ,138541316,EQ,BSE,0.01
284,H1147D39RG,138540804,EQ,BSE,0.01
285,H1147D39RD,138541060,EQ,BSE,0.01
286,GRINDWELL,129555460,EQ,BSE,0.05
287,GREYCELLS,130283012,EQ,BSE,0.05
288,GREENPOWER,136515332,EQ,BSE,0.01
289,GREENPLY,134860036,EQ,BSE,0.05
290,GREENCREST,136124676,EQ,BSE,0.01
291,GREAVESCOT,128372484,EQ,BSE,0.05
292,GRAVITY,136195844,EQ,BSE,0.01
293,GRAVITA,136520196,EQ,BSE,0.05
294,GRAVISSHO,130443780,EQ,BSE,0.05
295,GRAUWEIL,129461764,EQ,BSE,0.05
296,GRATEXI,134848260,EQ,BSE,0.01
297,GRASIM,128076804,EQ,BSE,0.05
298,STRIPMT,129207556,EQ,BSE,0.01
299,STFC29MAY19,245453316,EQ,BSE,0.01
300,SFTL,128378628,EQ,BSE,0.01
301,SFIVL,138385924,EQ,BSE,0.01
302,SELAN,135699204,EQ,BSE,0.05
303,SDFSC50DD,138915844,EQ,BSE,0.01
304,SCPOFA3GR,138926084,EQ,BSE,0.01
305,SCPOFA3GD,138926340,EQ,BSE,0.01
306,SANGFROID,138084356,EQ,BSE,0.01
307,SALAUTO,138074372,EQ,BSE,0.05
308,SAIBABA,137870596,EQ,BSE,0.01
309,RXLI8D,138921732,EQ,BSE,0.01
310,RXLI4Z,138911748,EQ,BSE,0.01
311,RXLI4X,138911492,EQ,BSE,0.01
312,RXLI4G,138912260,EQ,BSE,0.01
313,RXLI4D,138912004,EQ,BSE,0.01
314,QUASAR,137843716,EQ,BSE,0.05
315,QGO,137893380,EQ,BSE,0.01
316,NOVATEOR,138949380,EQ,BSE,0.05
317,H1147D39DQ,138540548,EQ,BSE,0.01
318,H1147D39DG,138540036,EQ,BSE,0.01
319,H1147D39DD,138540292,EQ,BSE,0.01
320,H1143D39DD,138522628,EQ,BSE,0.01
321,H1141D42RQ,138698244,EQ,BSE,0.01
322,H1141D42RG,138697732,EQ,BSE,0.01
323,H1141D42RD,138697988,EQ,BSE,0.01
324,H1141D42DQ,138697476,EQ,BSE,0.01
325,EFLH1I804A,245309700,EQ,BSE,0.01
326,EFLA3A701A,244942084,EQ,BSE,0.01
327,EFL4JAN19A,239717380,EQ,BSE,0.01
328,EFL4JAN19,239715844,EQ,BSE,0.01
329,EFIL26AUG19,245490436,EQ,BSE,0.01
330,EFI26AUG19A,245490948,EQ,BSE,0.01
331,EFI26AUG19,245490692,EQ,BSE,0.01
332,EELK0K705A,245043204,EQ,BSE,0.01
333,EELJ9J701A,245014020,EQ,BSE,0.01
334,EELH9L701A,245062148,EQ,BSE,0.01
335,EELH9E801A,245235204,EQ,BSE,0.01
336,EELH1I805A,245318404,EQ,BSE,0.01
337,EELH1I802A,245318660,EQ,BSE,0.01
338,EELG1L801A,245289732,EQ,BSE,0.01
339,EELF21901A,245466116,EQ,BSE,0.01
340,EELF0I701A,244909572,EQ,BSE,0.01
341,EELF0E701A,244805636,EQ,BSE,0.01
342,SAFALHBS,136200708,EQ,BSE,0.01
343,RXXXX6D,138813956,EQ,BSE,0.01
344,RXXXVS9X,138448900,EQ,BSE,0.01
345,RXXXVS6Z,138437380,EQ,BSE,0.01
346,RXXXVS6X,138437892,EQ,BSE,0.01
347,RXXXVS6G,138437124,EQ,BSE,0.01
348,RXXX11S10G,138331396,EQ,BSE,0.01
349,RXLI1Z,138892804,EQ,BSE,0.01
350,RXLI1X,138892548,EQ,BSE,0.01
351,RXLI12Z,138940420,EQ,BSE,0.01
352,RXLI12X,138940164,EQ,BSE,0.01
353,RXLI12G,138940932,EQ,BSE,0.01
354,RXLI12D,138940676,EQ,BSE,0.01
355,RXLI11Z,138927876,EQ,BSE,0.01
356,RXLI11X,138927620,EQ,BSE,0.01
357,RXXXX12X,138848772,EQ,BSE,0.01
358,RXXXX11Z,138837508,EQ,BSE,0.01
359,RXXXX11G,138838020,EQ,BSE,0.01
360,RXXXX11D,138837764,EQ,BSE,0.01
361,RXXXVS9Z,138448388,EQ,BSE,0.01
362,MOH28AUG19,245498628,EQ,BSE,0.01
363,H1141D42DG,138696964,EQ,BSE,0.01
364,EELF0D701B,244793092,EQ,BSE,0.01
365,ECLI9I601D,244465412,EQ,BSE,0.01
366,ECLI9I601A,244464132,EQ,BSE,0.01
367,ECLI9C601A,244506628,EQ,BSE,0.01
368,ECLI9B601B,244473092,EQ,BSE,0.01
369,ECLI7J603B,244497668,EQ,BSE,0.01
370,ECLH9L401,243594244,EQ,BSE,0.01
371,ECLH9I601A,244439812,EQ,BSE,0.01
372,ECLH8H602I,244431876,EQ,BSE,0.01
373,ECLH8H602D,244431364,EQ,BSE,0.01
374,ECLH7H601C,244398852,EQ,BSE,0.01
375,ECLG9L601C,244400644,EQ,BSE,0.01
376,ECLG9H601B,244392196,EQ,BSE,0.01
377,ECLG9H601A,244391940,EQ,BSE,0.01
378,ECLG9G606B,244354564,EQ,BSE,0.01
379,ECLG9G606A,244341252,EQ,BSE,0.01
380,ECLG9G605A,244350212,EQ,BSE,0.01
381,ECLG9G604A,244348676,EQ,BSE,0.01
382,ECLG8G601C,244355844,EQ,BSE,0.01
383,ECLG7H601B,244367364,EQ,BSE,0.01
384,ECLG7G601C,244336644,EQ,BSE,0.01
385,ECLG6H601A,244404228,EQ,BSE,0.01
386,UPL06JUL11,242517252,EQ,BSE,0.01
387,SCAGRO,134676740,EQ,BSE,0.01
388,RXXXVS9G,138448132,EQ,BSE,0.01
389,RXXXVS9D,138448644,EQ,BSE,0.01
390,RXXXVS7Z,138440708,EQ,BSE,0.01
391,RXXXVS6D,138437636,EQ,BSE,0.01
392,RXXXVS5G,138425092,EQ,BSE,0.01
393,RXXXVS5DG,138424580,EQ,BSE,0.01
394,RXXXVS5DD,138424324,EQ,BSE,0.01
395,RXXXVS5D,138424836,EQ,BSE,0.01
396,RXXXVS16Z,138471940,EQ,BSE,0.01
397,RXLI11G,138928388,EQ,BSE,0.01
398,RXLI11D,138928132,EQ,BSE,0.01
399,RXLI10Z,138928900,EQ,BSE,0.01
400,RXLI10X,138928644,EQ,BSE,0.01
401,RXLI10G,138929412,EQ,BSE,0.01
402,RXLI10D,138929156,EQ,BSE,0.01
403,RSL11APR19,245439748,EQ,BSE,0.01
404,PHOENIXLTD,128793604,EQ,BSE,0.05
405,ORBTEXP,131232260,EQ,BSE,0.05
406,H1141D42DD,138697220,EQ,BSE,0.01
407,H1136D38RQ,138388740,EQ,BSE,0.01
408,H1136D38RG,138388228,EQ,BSE,0.01
409,H1136D38RD,138388484,EQ,BSE,0.01
410,H1136D38DQ,138387972,EQ,BSE,0.01
411,H1136D38DG,138387460,EQ,BSE,0.01
412,ECLF9H601A,244370692,EQ,BSE,0.01
413,ECLF9F602A,244298756,EQ,BSE,0.01
414,ECLD7D602C,244190980,EQ,BSE,0.01
415,ECLD6E601A,244220420,EQ,BSE,0.01
416,ECLD3F701A,244909060,EQ,BSE,0.01
417,ECLC9E601C,244211972,EQ,BSE,0.01
418,EARCI8F601B,244321028,EQ,BSE,0.01
419,EARCF8F606B,244292868,EQ,BSE,0.01
420,EARCF6G602A,244324868,EQ,BSE,0.01
421,EARCF6G601A,244320772,EQ,BSE,0.01
422,EARCF6F602A,244317188,EQ,BSE,0.01
423,EARCF6F601A,244316676,EQ,BSE,0.01
424,T55BA,138647300,EQ,BSE,0.01
425,SUNILAGR,135923972,EQ,BSE,0.05
426,SUNGOLD,136046852,EQ,BSE,0.01
427,SUNFLAG,128103428,EQ,BSE,0.05
428,RXXXVS7X,138440964,EQ,BSE,0.01
429,RXXXVS16X,138472452,EQ,BSE,0.01
430,RXXXVS16G,138471684,EQ,BSE,0.01
431,RXXXVS16D,138472196,EQ,BSE,0.01
432,RXXXVS15Z,138468612,EQ,BSE,0.01
433,RXXXVS15X,138469124,EQ,BSE,0.01
434,RICHAIND,136388100,EQ,BSE,0.01
435,RETFSNXN50,138943236,EQ,BSE,0.01
436,RCL23NOV16A,244563460,EQ,BSE,0.01
437,RCL23NOV16,244563204,EQ,BSE,0.01
438,RCL23MAR18A,245204228,EQ,BSE,0.01
439,RCL23MAR18,245203716,EQ,BSE,0.01
440,RCL23JAN18,245097988,EQ,BSE,0.01
441,RCL21APR17,244798980,EQ,BSE,0.01
442,RCL20OCT16,244520708,EQ,BSE,0.01
443,IIFLWAM,138949636,EQ,BSE,0.05
444,H1134D40RG,138590468,EQ,BSE,0.01
445,H1134D40RD,138590980,EQ,BSE,0.01
446,H1134D40DQ,138589956,EQ,BSE,0.01
447,H1133D44RD,138884612,EQ,BSE,0.01
448,H1133D44DQ,138884100,EQ,BSE,0.01
449,EARCF1F601A,244325124,EQ,BSE,0.01
450,EARCE8E604B,244255748,EQ,BSE,0.01
451,EARCE2H701B,244964356,EQ,BSE,0.01
452,EARCE2H701A,244964100,EQ,BSE,0.01
453,EARCB1G601D,244335364,EQ,BSE,0.01
454,EARCB1G601C,244335108,EQ,BSE,0.01
455,EARCB1G601A,244334596,EQ,BSE,0.01
456,EARCB1F601C,244300548,EQ,BSE,0.01
457,EARCB1F601A,244301060,EQ,BSE,0.01
458,EARCA1F601A,244282372,EQ,BSE,0.01
459,EAI3C901A24,245434628,EQ,BSE,0.01
460,DYNAVSN,132412932,EQ,BSE,0.05
461,DYNAMIND,134353412,EQ,BSE,0.05
462,SUNEDISON,136002564,EQ,BSE,0.01
463,SUNDRMFAST,128103172,EQ,BSE,0.05
464,SEPOWER,136857092,EQ,BSE,0.01
465,SEAGOLD,135772420,EQ,BSE,0.01
466,SDL,134330116,EQ,BSE,0.05
467,RXXXVS15G,138468356,EQ,BSE,0.01
468,RXXXVS15D,138468868,EQ,BSE,0.01
469,RXXXVS14Z,138464260,EQ,BSE,0.01
470,RXXXVS14X,138464772,EQ,BSE,0.01
471,PROGREXV,136003844,EQ,BSE,0.01
472,PERSISTENT,136493828,EQ,BSE,0.05
473,RCL20MAY11A,242562052,EQ,BSE,0.01
474,MAHAANIMP,138944772,EQ,BSE,0.05
475,NBVENTURES,131333892,EQ,BSE,0.05
476,IIFLSEC,138949892,EQ,BSE,0.05
477,ICMMB73,245893892,EQ,BSE,0.01
478,ICL,137942532,EQ,BSE,0.01
479,ICICISENSX,142222084,EQ,BSE,0.01
480,ICICIPRULI,138274052,EQ,BSE,0.05
481,IHFCL6SEP19,245497604,EQ,BSE,0.01
482,H1133D44DG,138883588,EQ,BSE,0.01
483,DYNAMICP,135879428,EQ,BSE,0.01
484,DYNAMIC,138443524,EQ,BSE,0.05
485,DWARKESH,136348164,EQ,BSE,0.05
486,DVL,134076420,EQ,BSE,0.05
487,DVC30MAR12B,249019140,EQ,BSE,0.01
488,DVC30MAR12A,249018884,EQ,BSE,0.01
489,DVC25MAR13,249043460,EQ,BSE,0.01
490,DUTRON,132463876,EQ,BSE,0.05
491,DUROPLY,132096772,EQ,BSE,0.05
492,DUROPACK,134746884,EQ,BSE,0.01
493,DUNCANENG,129256452,EQ,BSE,0.05
494,DUKEOFS,136056580,EQ,BSE,0.01
495,DUGARHOU,130978308,EQ,BSE,0.01
496,DUCON,136876548,EQ,BSE,0.01
497,DTL020310J,248973060,EQ,BSE,0.01
498,DTL020310I,248972804,EQ,BSE,0.01
499,DTL020310H,248972548,EQ,BSE,0.01
500,DTL020310G,248972292,EQ,BSE,0.01
501,DTL020310F,248972036,EQ,BSE,0.01
502,DTL020310E,248971780,EQ,BSE,0.01
503,SDFSC9GR,138488580,EQ,BSE,0.01
504,SDFSC9GD,138489092,EQ,BSE,0.01
505,SDFSC9DR,138488836,EQ,BSE,0.01
506,SDFSC9DD,138489348,EQ,BSE,0.01
507,RXXXVS14G,138464004,EQ,BSE,0.01
508,RXXXVS14D,138464516,EQ,BSE,0.01
509,RRMETAL,136106756,EQ,BSE,0.05
510,JMFC23AUG19,245491716,EQ,BSE,0.01
511,ICICINXT50,138703108,EQ,BSE,0.01
512,ICICINV20,138225924,EQ,BSE,0.01
513,ICICINIFTY,137473796,EQ,BSE,0.01
514,ICFL15318B,245177092,EQ,BSE,0.01
515,ICFL15318A,245176836,EQ,BSE,0.01
516,ICFL15318,245176580,EQ,BSE,0.01
517,ICCL25SEP18,239682052,EQ,BSE,0.01
518,ICCGB71,245961732,EQ,BSE,0.01
519,ICCGB69,245958404,EQ,BSE,0.01
520,H1133D44DD,138883844,EQ,BSE,0.01
521,DSSL,136285444,EQ,BSE,0.05
522,DRL,136077572,EQ,BSE,0.01
523,DREDGECORP,134046212,EQ,BSE,0.05
524,DOLPHINOFF,133698820,EQ,BSE,0.01
525,DOLLAR,138599172,EQ,BSE,0.05
526,DOLAT,129414660,EQ,BSE,0.05
527,DNAMEDIA,138441988,EQ,BSE,0.01
528,DML,138447620,EQ,BSE,0.01
529,DMI15JUN18A,245249796,EQ,BSE,0.01
530,DMI15JUN18,245249540,EQ,BSE,0.01
531,DMART,138336260,EQ,BSE,0.05
532,DLTNCBL,129085444,EQ,BSE,0.01
